OPDMS_EID,PSSE_BUS_NUMBER,PSSE_BUS_NAME,EMS_REGION_ID,EMS_STN_ID,EMS_ID,EMS_STN_DESC,BASKV,BUS_TYPE_IDE,AREA,ZONE
3824548,444721,4BRAEPS__15B,QLD,BRAE_PS,5,BRAEMAR PS,15.75,2,4,98
3824547,444722,4BRAEPS__15C,QLD,BRAE_PS,6,BRAEMAR PS,15.75,1,4,98
3927161,444781,4BRAEPS_275B,QLD,BRAE_PS,8839,BRAEMAR PS,275,1,4,98
3927162,444782,4BRAEPS_275C,QLD,BRAE_PS,8838,BRAEMAR PS,275,1,4,98
3927176,444801,4BRM2PS___G1,QLD,H48_B2PS,1T1,H48 BRAEMAR 2 PS,15.75,2,4,98
3927174,444802,4BRM2PS___G2,QLD,H48_B2PS,1T2,H48 BRAEMAR 2 PS,15.75,2,4,98
3927172,444803,4BRM2PS___G3,QLD,H48_B2PS,1T3,H48 BRAEMAR 2 PS,15.75,1,4,98
3927167,444880,4BRM2PS_275A,QLD,H48_B2PS,8841,H48 BRAEMAR 2 PS,275,1,4,98
3927170,444881,4BRM2PS_275B,QLD,H48_B2PS,8840,H48 BRAEMAR 2 PS,275,1,4,98
557680,445001,4CALLIC___G1,QLD,CAL_C_PS,12,CALLIDE C PS 275KV,19.5,1,4,98
557681,445002,4CALLIC___G2,QLD,CAL_C_PS,11,CALLIDE C PS 275KV,19.5,1,4,98
557678,445080,4CALLIC_275A,QLD,CAL_C_PS,5,CALLIDE C PS 275KV,275,1,4,98
557679,445081,4CALLIC_275B,QLD,CAL_C_PS,1,CALLIDE C PS 275KV,275,1,4,98
1212207,445180,4SWANBK_275A,QLD,H51_SBKE,1,H51 SWANBANK E,275,1,4,98
3924115,445222,4KOGNCK__21B,QLD,KOGAN_PS,1,KOGAN CREEK  PS,21,2,4,98
3931560,445280,4KOGNCK_275A,QLD,KOGAN_PS,8865,KOGAN CREEK  PS,275,1,4,98
1336894,445401,4TARNOR___G1,QLD,TRNGN_PS,1,TARONG NORTH  PS,20.5,2,4,98
1336892,445480,4TARNOR_275A,QLD,TRNGN_PS,6,TARONG NORTH  PS,275,1,4,98
1299183,445501,4SWNEPS___G1,QLD,SBK_E_PS,1,SWANBANK E PS,21,1,4,98
1299180,445580,4SWNEPS_275A,QLD,SBK_E_PS,6,SWANBANK E PS,275,1,4,98
3967234,445644,4YABSTH_132E,QLD,H56_YBLS,713D,H56 YABULU SOUTH 132KV,132,4,4,98
3932214,445646,4YABSTH_132G,QLD,H56_YBLS,4MN3,H56 YABULU SOUTH 132KV,132,1,4,98
3929199,445840,4LARCRK_132A,QLD,H58_LARC,7353,LARCOM CREEK 275KV,132,1,4,98
3929201,445841,4LARCRK_132B,QLD,H58_LARC,7352,LARCOM CREEK 275KV,132,1,4,98
3929194,445886,4LARCRK_275G,QLD,H58_LARC,8MN1,LARCOM CREEK 275KV,275,1,4,98
4976912,446080,4WALKMN_275A,QLD,H60_WALK,8MN2,H60 WALKAMIN,275,1,4,98
3926739,446240,4ABERMN_110A,QLD,H62_ABMN,4T4,ABERMAIN,110,1,4,98
3926725,446283,4ABERMN_275D,QLD,H62_ABMN,8MN1,ABERMAIN,275,1,4,98
3925305,446343,4TEEBAR_132D,QLD,H63_TBAR,4MN3,TEEBAR CREEK,132,1,4,98
3925300,446381,4TEEBAR_275B,QLD,H63_TBAR,2,TEEBAR CREEK,275,1,4,98
3931500,446684,4WESTDN_275E,QLD,S5_WESTD,1,WESTERN DOWNS,275,1,4,98
3970071,447030,4MYRTLE__33A,QLD,SSMTN,2MN1,MYRTLETOWN 110KV,33,1,4,98
3970070,447040,4MYRTLE_110A,QLD,SSMTN,4T4,MYRTLETOWN 110KV,110,1,4,98
3970069,447041,4MYRTLE_110B,QLD,SSMTN,4T3,MYRTLETOWN 110KV,110,1,4,98
3928774,447105,4DDWNPS__G1A,QLD,H71_DDPS,1T1,DARLING DOWNS POWER STATION,15,2,4,98
3928746,447106,4DDWNPS__G2A,QLD,H71_DDPS,1T2,DARLING DOWNS POWER STATION,15,2,4,98
3928773,447107,4DDWNPS__G3A,QLD,H71_DDPS,1T3,DARLING DOWNS POWER STATION,15,2,4,98
3928781,447108,4DDWNPS__G4A,QLD,H71_DDPS,1T4,DARLING DOWNS POWER STATION,15,2,4,98
3928789,447180,4DDWNPS_275A,QLD,H71_DDPS,8860,DARLING DOWNS POWER STATION,275,1,4,98
3928787,447182,4DDWNPS_275C,QLD,H71_DDPS,8861,DARLING DOWNS POWER STATION,275,1,4,98
3928785,447183,4DDWNPS_275D,QLD,H71_DDPS,8862,DARLING DOWNS POWER STATION,275,1,4,98
3931115,447240,4BLAKST_110A,QLD,H72_BKST,1,BLACKSTONE 110KV,110,1,4,98
3966265,447284,4BLAKST_275E,QLD,H72_BKST,8MN1,BLACKSTONE 110KV,275,1,4,98
3945093,447380,4RAGLAN_275A,QLD,H73_RAGL,2,RAGLAN,275,1,4,98
3932147,447546,4KUMBAR_132G,QLD,H75_KUMP,4MN1,KUMBARILLA PARK,132,1,4,98
3932196,447580,4KUMBAR_275A,QLD,H75_KUMP,8883,KUMBARILLA PARK,275,1,4,98
3932146,447581,4KUMBAR_275B,QLD,H75_KUMP,8882,KUMBARILLA PARK,275,1,4,98
